time,symbol,strategy,direction,entry,sl_pts,tp_pts,atr,point,outcome,pnl_pts,pnl_usd,week
2026-07-10 22:15:00,ETHUSD,PIP_BLAST,SELL,1785.73,18.28445934620059,77.01682002480331,1.5211696627454734,0.01,WIN,77.0,0.08,Jul 04–10 2026
2026-07-11 00:00:00,ETHUSD,PIP_BLAST,BUY,1789.62,16.465614426535964,69.35557890312111,1.3698514497950054,0.01,LOSS,-16.5,-0.02,Jul 04–10 2026
2026-07-11 00:15:00,ETHUSD,PIP_BLAST,BUY,1791.02,16.700317896383638,70.3441842840186,1.3893775288172743,0.01,LOSS,-16.7,-0.02,Jul 04–10 2026
2026-07-11 00:30:00,ETHUSD,PIP_BLAST,BUY,1793.24,17.02440313489893,71.70927876205764,1.4163396950831058,0.01,LOSS,-17.0,-0.02,Jul 04–10 2026
2026-07-11 00:45:00,ETHUSD,PIP_BLAST,BUY,1792.17,18.59427532208832,78.3218102793121,1.5469447023367986,0.01,LOSS,-18.6,-0.02,Jul 04–10 2026
2026-07-11 01:00:00,ETHUSD,PIP_BLAST,BUY,1793.72,19.303436272565808,81.308900039934,1.605943117517954,0.01,LOSS,-19.3,-0.02,Jul 04–10 2026
2026-07-11 01:15:00,ETHUSD,PIP_BLAST,BUY,1792.84,19.955364711948175,84.05491808368853,1.6601800925081678,0.01,LOSS,-20.0,-0.02,Jul 04–10 2026
2026-07-11 01:30:00,ETHUSD,PIP_BLAST,BUY,1791.43,16.42555656086323,69.18684930752956,1.3665188486575068,0.01,WIN,69.2,0.07,Jul 04–10 2026
2026-07-11 01:45:00,ETHUSD,PIP_BLAST,BUY,1792.87,14.11502837578553,59.45456627837115,1.1742952059721739,0.01,LOSS,-14.1,-0.01,Jul 04–10 2026
2026-07-11 02:15:00,ETHUSD,PIP_BLAST,BUY,1793.87,11.657746230567833,49.10413408100244,0.9698624151886717,0.01,LOSS,-11.7,-0.01,Jul 04–10 2026
2026-07-11 02:30:00,ETHUSD,PIP_BLAST,BUY,1793.84,12.250548532112171,51.601104174778634,1.0191804103254718,0.01,LOSS,-12.3,-0.01,Jul 04–10 2026
2026-07-11 02:45:00,ETHUSD,PIP_BLAST,BUY,1794.45,12.65760132307239,53.31567013204285,1.0530450351973701,0.01,LOSS,-12.7,-0.01,Jul 04–10 2026
2026-07-11 03:00:00,ETHUSD,PIP_BLAST,BUY,1791.38,12.34004156767183,51.978061944361464,1.0266257543820159,0.01,WIN,52.0,0.05,Jul 04–10 2026
2026-07-11 03:15:00,ETHUSD,PIP_BLAST,BUY,1791.29,11.529340791530707,48.563271570316104,0.9591797663503083,0.01,LOSS,-11.5,-0.01,Jul 04–10 2026
2026-07-11 03:30:00,ETHUSD,PIP_BLAST,BUY,1791.33,8.481387463495206,35.72484586329137,0.7056062781609989,0.01,LOSS,-8.5,-0.01,Jul 04–10 2026
2026-07-11 04:15:00,ETHUSD,PIP_BLAST,BUY,1793.58,7.560644993693207,31.84654376295233,0.6290054071292185,0.01,WIN,31.8,0.03,Jul 04–10 2026
2026-07-11 04:30:00,ETHUSD,PIP_BLAST,SELL,1786.92,7.7234095544925845,32.5321319254542,0.6425465519544579,0.01,LOSS,-7.7,-0.01,Jul 04–10 2026
2026-07-11 04:45:00,ETHUSD,PIP_BLAST,SELL,1786.63,11.701531583197884,49.288564397446656,0.9735051233941667,0.01,LOSS,-11.7,-0.01,Jul 04–10 2026
2026-07-11 05:00:00,ETHUSD,PIP_BLAST,SELL,1787.77,14.548170282724781,61.279023412176,1.2103303063830932,0.01,LOSS,-14.5,-0.01,Jul 04–10 2026
2026-07-11 05:15:00,ETHUSD,PIP_BLAST,SELL,1789.33,15.8513578629924,66.76824031641473,1.318748574292213,0.01,WIN,66.8,0.07,Jul 04–10 2026
2026-07-11 06:30:00,ETHUSD,PIP_BLAST,BUY,1794.58,14.739328162786958,62.08420839283723,1.2262336241919265,0.01,LOSS,-14.7,-0.01,Jul 04–10 2026
2026-07-11 06:45:00,ETHUSD,PIP_BLAST,BUY,1793.92,15.861678655679464,66.81171300641026,1.3196072092911368,0.01,WIN,66.8,0.07,Jul 04–10 2026
2026-07-11 07:00:00,ETHUSD,PIP_BLAST,BUY,1794.44,16.471085635718453,69.37862443730658,1.370306625267758,0.01,LOSS,-16.5,-0.02,Jul 04–10 2026
2026-07-11 07:15:00,ETHUSD,PIP_BLAST,BUY,1794.22,17.20153374532121,72.45537882908593,1.4310760187455251,0.01,WIN,72.5,0.07,Jul 04–10 2026
2026-07-11 07:30:00,ETHUSD,PIP_BLAST,BUY,1795.31,17.6427714089218,74.31393647535032,1.4677846430051416,0.01,WIN,74.3,0.07,Jul 04–10 2026
2026-07-11 08:00:00,ETHUSD,PIP_BLAST,BUY,1795.38,18.59171782598622,78.31103773125476,1.5467319322783877,0.01,LOSS,-18.6,-0.02,Jul 04–10 2026
2026-07-11 08:15:00,ETHUSD,PIP_BLAST,BUY,1796.81,16.885130111158983,71.1226403933427,1.4047529210614795,0.01,LOSS,-16.9,-0.02,Jul 04–10 2026
2026-07-11 08:30:00,ETHUSD,PIP_BLAST,BUY,1795.85,14.3819153864219,60.57873344546929,1.1964987842281116,0.01,WIN,60.6,0.06,Jul 04–10 2026
2026-07-11 08:45:00,ETHUSD,PIP_BLAST,BUY,1796.93,10.930544205236862,46.04105267147606,0.909363078638674,0.01,LOSS,-10.9,-0.01,Jul 04–10 2026
2026-07-11 09:00:00,ETHUSD,PIP_BLAST,BUY,1795.86,8.3307168119351,35.0901990173273,0.6930712821909402,0.01,LOSS,-8.3,-0.01,Jul 04–10 2026
2026-07-11 09:15:00,ETHUSD,PIP_BLAST,BUY,1797.65,7.511764234299506,31.64065084713677,0.6249387882112734,0.01,LOSS,-7.5,-0.01,Jul 04–10 2026
2026-07-11 09:30:00,ETHUSD,PIP_BLAST,BUY,1797.91,8.15749198359843,34.36055067633847,0.678659898801866,0.01,WIN,34.4,0.03,Jul 04–10 2026
2026-07-11 09:45:00,ETHUSD,PIP_BLAST,BUY,1797.0,9.186985710019355,38.696928993201325,0.7643082953427084,0.01,LOSS,-9.2,-0.01,Jul 04–10 2026
2026-07-11 10:00:00,ETHUSD,PIP_BLAST,BUY,1796.63,8.230356147021494,34.66746520163879,0.6847218092363972,0.01,WIN,34.7,0.03,Jul 04–10 2026
2026-07-11 10:30:00,ETHUSD,PIP_BLAST,BUY,1798.01,8.10809115396067,34.15246714850488,0.674550012808708,0.01,LOSS,-8.1,-0.01,Jul 04–10 2026
2026-07-11 10:45:00,ETHUSD,PIP_BLAST,BUY,1797.48,8.059391014187238,33.94733502897669,0.6704984204814673,0.01,LOSS,-8.1,-0.01,Jul 04–10 2026
2026-07-11 11:00:00,ETHUSD,PIP_BLAST,BUY,1799.18,7.744829733583548,32.62235685618428,0.6443285968039558,0.01,LOSS,-7.7,-0.01,Jul 04–10 2026
2026-07-11 11:15:00,ETHUSD,PIP_BLAST,BUY,1798.81,8.02448590037254,33.80030957869065,0.66759450086294,0.01,LOSS,-8.0,-0.01,Jul 04–10 2026
2026-07-11 11:30:00,ETHUSD,PIP_BLAST,BUY,1800.12,8.284294752252569,34.894662504704456,0.6892092139977178,0.01,LOSS,-8.3,-0.01,Jul 04–10 2026
2026-07-11 11:45:00,ETHUSD,PIP_BLAST,BUY,1799.18,8.06883653436111,33.987120942986934,0.6712842374676464,0.01,LOSS,-8.1,-0.01,Jul 04–10 2026
2026-07-11 12:15:00,ETHUSD,PIP_BLAST,BUY,1797.39,7.924180122463299,33.37780695510123,0.6592495942149167,0.01,LOSS,-7.9,-0.01,Jul 04–10 2026
2026-07-11 13:30:00,ETHUSD,PIP_BLAST,SELL,1795.37,10.762650241993398,45.333858714819115,0.895395194841381,0.01,LOSS,-10.8,-0.01,Jul 04–10 2026
2026-07-11 16:00:00,ETHUSD,PIP_BLAST,BUY,1797.94,8.129363171782696,34.242068002276035,0.6763197314295089,0.01,LOSS,-8.1,-0.01,Jul 04–10 2026
2026-07-11 16:15:00,ETHUSD,PIP_BLAST,BUY,1799.17,8.396599474110175,35.367706437121306,0.6985523688943573,0.01,WIN,35.4,0.04,Jul 04–10 2026
2026-07-11 16:30:00,ETHUSD,PIP_BLAST,BUY,1801.25,6.822635117604383,28.737938103519962,0.5676069149421284,0.01,LOSS,-6.8,-0.01,Jul 04–10 2026
2026-07-11 16:45:00,ETHUSD,PIP_BLAST,BUY,1800.37,8.662124612775722,36.48613720006945,0.7206426466535543,0.01,WIN,36.5,0.04,Jul 04–10 2026
2026-07-11 17:00:00,ETHUSD,PIP_BLAST,BUY,1800.32,9.467124767601351,39.87691572243398,0.7876143733445384,0.01,WIN,39.9,0.04,Jul 04–10 2026
2026-07-11 17:15:00,ETHUSD,PIP_BLAST,BUY,1803.84,9.185351333628816,38.69004476053468,0.764172323929186,0.01,LOSS,-9.2,-0.01,Jul 04–10 2026
2026-07-11 17:30:00,ETHUSD,PIP_BLAST,BUY,1812.2,12.12459198643952,51.07055676151688,1.0087014963760002,0.01,LOSS,-12.1,-0.01,Jul 04–10 2026
2026-07-11 17:45:00,ETHUSD,PIP_BLAST,BUY,1808.3,24.2662017110728,102.21279472808784,2.0188187779594675,0.01,WIN,102.2,0.1,Jul 04–10 2026
2026-07-11 18:00:00,ETHUSD,PIP_BLAST,BUY,1818.98,27.106177402991893,114.17518817915801,2.255089634192337,0.01,LOSS,-27.1,-0.03,Jul 04–10 2026
2026-07-11 18:15:00,ETHUSD,PIP_BLAST,BUY,1822.14,39.35830786199267,165.78295566162134,3.2744016524120356,0.01,LOSS,-39.4,-0.04,Jul 04–10 2026
2026-07-11 18:30:00,ETHUSD,PIP_BLAST,BUY,1809.92,49.92518922005072,210.29220717231013,4.153509918473437,0.01,WIN,210.3,0.21,Jul 04–10 2026
2026-07-11 18:45:00,ETHUSD,PIP_BLAST,BUY,1812.43,49.66815706979576,209.20955012011308,4.132126212129431,0.01,LOSS,-49.7,-0.05,Jul 04–10 2026
2026-07-11 19:00:00,ETHUSD,PIP_BLAST,BUY,1812.62,49.44856889574864,208.28461257834888,4.113857645236992,0.01,LOSS,-49.4,-0.05,Jul 04–10 2026
2026-07-11 19:15:00,ETHUSD,PIP_BLAST,BUY,1817.2,48.05268389005546,202.404940545217,3.9977274450961287,0.01,LOSS,-48.1,-0.05,Jul 04–10 2026
2026-07-11 19:30:00,ETHUSD,PIP_BLAST,BUY,1815.85,47.88314927638105,201.69083592871647,3.9836230679185562,0.01,LOSS,-47.9,-0.05,Jul 04–10 2026
2026-07-11 19:45:00,ETHUSD,PIP_BLAST,BUY,1820.93,45.6715568070985,192.3752846209149,3.799630350008195,0.01,LOSS,-45.7,-0.05,Jul 04–10 2026
2026-07-11 20:00:00,ETHUSD,PIP_BLAST,BUY,1818.07,45.21827370620786,190.46598982906022,3.761919609501486,0.01,WIN,190.5,0.19,Jul 04–10 2026
2026-07-11 20:15:00,ETHUSD,PIP_BLAST,BUY,1820.2,42.98382189701821,181.05415163444525,3.5760251162244767,0.01,LOSS,-43.0,-0.04,Jul 04–10 2026
2026-07-11 20:30:00,ETHUSD,PIP_BLAST,BUY,1824.33,39.241457024539855,165.2907628246633,3.264680284903482,0.01,LOSS,-39.2,-0.04,Jul 04–10 2026
2026-07-11 20:45:00,ETHUSD,PIP_BLAST,BUY,1822.29,35.0797797689006,147.76116886018616,2.918450895915192,0.01,LOSS,-35.1,-0.04,Jul 04–10 2026
2026-07-11 21:00:00,ETHUSD,PIP_BLAST,BUY,1821.81,30.221037327583012,127.29543426751479,2.5142293949736283,0.01,WIN,127.3,0.13,Jul 04–10 2026
2026-07-11 21:15:00,ETHUSD,PIP_BLAST,BUY,1823.54,30.08219404293076,126.71060602276076,2.50267837295597,0.01,LOSS,-30.1,-0.03,Jul 04–10 2026
2026-07-11 21:30:00,ETHUSD,PIP_BLAST,BUY,1825.93,26.918655220743087,113.38531729003513,2.2394887870834514,0.01,LOSS,-26.9,-0.03,Jul 04–10 2026
2026-07-11 22:00:00,ETHUSD,PIP_BLAST,BUY,1822.92,30.067912386612573,126.65044959519089,2.5014902151923937,0.01,LOSS,-30.1,-0.03,Jul 04–10 2026
